component,variance,ratio,percentage
PC639,-0.0,-0.0,-0.0%
PC640,-0.0,-0.0,-0.0%
PC641,-0.0,-0.0,-0.0%
PC642,-0.0,-0.0,-0.0%
PC643,-0.0,-0.0,-0.0%
PC644,-0.0,-0.0,-0.0%
PC645,-0.0,-0.0,-0.0%
PC646,-0.0,-0.0,-0.0%
PC647,-0.0,-0.0,-0.0%
PC648,-0.0,-0.0,-0.0%
PC649,-0.0,-0.0,-0.0%
PC650,-0.0,-0.0,-0.0%
PC651,-0.0,-0.0,-0.0%
PC652,-0.0,-0.0,-0.0%
PC653,-0.0,-0.0,-0.0%
PC654,-0.0,-0.0,-0.0%
PC655,-0.0,-0.0,-0.0%
PC656,-0.0,-0.0,-0.0%
PC657,-0.0,-0.0,-0.0%
PC658,-0.0,-0.0,-0.0%
PC659,-0.0,-0.0,-0.0%
PC660,-0.0,-0.0,-0.0%
PC661,-0.0,-0.0,-0.0%
PC662,-0.0,-0.0,-0.0%
PC663,-0.0,-0.0,-0.0%
PC664,-0.0,-0.0,-0.0%
PC665,-0.0,-0.0,-0.0%
PC666,-0.0,-0.0,-0.0%
PC667,-0.0,-0.0,-0.0%
PC668,-0.0,-0.0,-0.0%
PC669,-0.0,-0.0,-0.0%
PC670,-0.0,-0.0,-0.0%
PC671,-0.0,-0.0,-0.0%
PC672,-0.0,-0.0,-0.0%
PC673,-0.0,-0.0,-0.0%
PC674,-0.0,-0.0,-0.0%
PC675,-0.0,-0.0,-0.0%
PC676,-0.0,-0.0,-0.0%
PC677,-0.0,-0.0,-0.0%
PC678,-0.0,-0.0,-0.0%
PC679,-0.0,-0.0,-0.0%
PC680,-0.0,-0.0,-0.0%
PC681,-0.0,-0.0,-0.0%
PC682,-0.0,-0.0,-0.0%
PC683,-0.0,-0.0,-0.0%
PC684,-0.0,-0.0,-0.0%
PC685,-0.0,-0.0,-0.0%
PC686,-0.0,-0.0,-0.0%
PC687,-0.0,-0.0,-0.0%
PC688,-0.0,-0.0,-0.0%
PC689,-0.0,-0.0,-0.0%
PC690,-0.0,-0.0,-0.0%
PC691,-0.0,-0.0,-0.0%
PC692,-0.0,-0.0,-0.0%
PC693,-0.0,-0.0,-0.0%
PC694,-0.0,-0.0,-0.0%
PC695,-0.0,-0.0,-0.0%
PC696,-0.0,-0.0,-0.0%
PC697,-0.0,-0.0,-0.0%
PC698,-0.0,-0.0,-0.0%
PC699,-0.0,-0.0,-0.0%
PC700,-0.0,-0.0,-0.0%
PC701,-0.0,-0.0,-0.0%
PC702,-0.0,-0.0,-0.0%
PC703,-0.0,-0.0,-0.0%
PC704,-0.0,-0.0,-0.0%
PC705,-0.0,-0.0,-0.0%
PC706,-0.0,-0.0,-0.0%
PC707,-0.0,-0.0,-0.0%
PC708,-0.0,-0.0,-0.0%
PC709,-0.0,-0.0,-0.0%
PC710,-0.0,-0.0,-0.0%
PC711,-0.0,-0.0,-0.0%
PC712,-0.0,-0.0,-0.0%
PC713,-0.0,-0.0,-0.0%
PC714,-0.0,-0.0,-0.0%
PC715,-0.0,-0.0,-0.0%
PC716,-0.0,-0.0,-0.0%
PC717,-0.0,-0.0,-0.0%
PC718,-0.0,-0.0,-0.0%
PC719,-0.0,-0.0,-0.0%
PC720,-0.0,-0.0,-0.0%
PC721,-0.0,-0.0,-0.0%
PC722,-0.0,-0.0,-0.0%
PC723,-0.0,-0.0,-0.0%
PC724,-0.0,-0.0,-0.0%
PC725,-0.0,-0.0,-0.0%
PC726,-0.0,-0.0,-0.0%
PC727,-0.0,-0.0,-0.0%
PC728,-0.0,-0.0,-0.0%
PC729,-0.0,-0.0,-0.0%
PC730,-0.0,-0.0,-0.0%
PC731,-0.0,-0.0,-0.0%
PC732,-0.0,-0.0,-0.0%
PC733,-0.0,-0.0,-0.0%
PC734,-0.0,-0.0,-0.0%
PC735,-0.0,-0.0,-0.0%
PC736,-0.0,-0.0,-0.0%
PC737,-0.0,-0.0,-0.0%
PC738,-0.0,-0.0,-0.0%
PC739,-0.0,-0.0,-0.0%
PC740,-0.0,-0.0,-0.0%
PC741,-0.0,-0.0,-0.0%
PC742,-0.0,-0.0,-0.0%
PC743,-0.0,-0.0,-0.0%
PC744,-0.0,-0.0,-0.0%
PC745,-0.0,-0.0,-0.0%
PC746,-0.0,-0.0,-0.0%
PC747,-0.0,-0.0,-0.0%
PC748,-0.0,-0.0,-0.0%
PC749,-0.0,-0.0,-0.0%
PC750,-0.0,-0.0,-0.0%
PC751,-0.0,-0.0,-0.0%
PC752,-0.0,-0.0,-0.0%
